objID run rerun camcol field rowc colc petroRad_r rowc_g rowc_i colc_g colc_i class imageName morphology
1237649962452713596 1045 301 3 69 950.4881 465.9509 3.042362 960.6782 952.6072 466.162 464.583 GALAXY 1045_301_3_69 edgeon
1237649962453500036 1045 301 3 81 419.367 966.9585 8.950823 429.6828 422.1565 967.1804 965.1774 GALAXY 1045_301_3_81 edgeon
1237650371561783406 1140 301 5 274 1063.676 545.9379 5.962558 1073.793 1066.524 544.2897 545.8777 GALAXY 1140_301_5_274 edgeon
1237650761861234946 1231 301 4 187 755.057 63.8243 8.659909 766.0226 757.6988 59.76839 61.62435 GALAXY 1231_301_4_187 edgeon
1237650762931699853 1231 301 6 137 325.1054 1595.801 6.641975 336.6015 327.5069 1597.732 1596.755 GALAXY 1231_301_6_137 edgeon
1237650795146969196 1239 301 2 183 1124.004 1069.548 9.070763 1135.643 1127.398 1066.254 1067.722 GALAXY 1239_301_2_183 edgeon
1237650796219662548 1239 301 4 167 1113.82 1030.931 4.985495 1122.912 1116.503 1023.631 1028.845 GALAXY 1239_301_4_167 edgeon
1237651067890237502 1302 301 6 379 418.7974 1028.14 6.953602 431.2351 421.0733 1023.252 1028.847 GALAXY 1302_301_6_379 edgeon
1237651067892269131 1302 301 6 410 486.1302 977.5694 5.877623 498.4727 488.4995 971.5491 978.3123 GALAXY 1302_301_6_410 edgeon
1237651190285336775 1331 301 2 204 657.0641 641.9052 6.097825 667.847 660.2704 634.8235 640.1758 GALAXY 1331_301_2_204 edgeon
1237651190824435805 1331 301 3 238 226.2903 640.5916 12.64632 235.5116 229.6778 632.0965 638.0394 GALAXY 1331_301_3_238 edgeon
1237651191895753002 1331 301 5 201 1049.569 1453.636 6.183119 1058.816 1052.001 1447.017 1454.766 GALAXY 1331_301_5_201 edgeon
1237651191896604974 1331 301 5 214 146.9904 1661.115 3.181448 156.7579 149.6191 1654.548 1662.036 GALAXY 1331_301_5_214 edgeon
1237651211749687570 1336 301 2 44 1168.961 574.5311 5.916231 1179.338 1171.923 560.5864 570.5754 GALAXY 1336_301_2_44 edgeon
1237651212824609085 1336 301 4 62 1246.605 1298.36 9.38023 1258.192 1249.844 1284.793 1295.778 GALAXY 1336_301_4_62 edgeon
1237651225171787792 1339 301 3 49 248.3596 1485.435 6.740096 259.6591 251.7379 1470.957 1480.815 GALAXY 1339_301_3_49 edgeon
1237651249875845268 1345 301 1 171 300.3126 1213.353 16.31643 308.3217 303.7603 1202.591 1209.303 GALAXY 1345_301_1_171 edgeon
1237651249875910845 1345 301 1 172 1306.046 1402.209 7.629225 1316.115 1308.989 1391.593 1397.897 GALAXY 1345_301_1_172 edgeon
1237651249876500620 1345 301 1 181 1320.232 1633.604 12.49032 1330.426 1323.304 1622.32 1629.132 GALAXY 1345_301_1_181 edgeon
1237651250413895861 1345 301 2 189 354.9637 1413.292 6.405073 364.0774 358.0394 1402.007 1410.534 GALAXY 1345_301_2_189 edgeon
1237651250950307944 1345 301 3 182 715.991 381.9161 5.488925 724.9764 718.5816 369.4924 377.9287 GALAXY 1345_301_3_182 edgeon
1237651250953060511 1345 301 3 224 790.8545 861.5573 11.1236 799.9502 793.4203 849.1078 858.5563 GALAXY 1345_301_3_224 edgeon
1237651250964267104 1345 301 3 395 326.7104 116.1822 6.32373 335.447 329.4194 103.2454 111.8173 GALAXY 1345_301_3_395 edgeon
1237651250967216357 1345 301 3 440 1214.858 617.3105 6.515869 1223.544 1217.596 604.9371 613.5 GALAXY 1345_301_3_440 edgeon
1237651250969313460 1345 301 3 472 738.4839 803.4447 6.872459 747.7055 741.106 791.4169 800.0267 GALAXY 1345_301_3_472 edgeon
1237651251487965370 1345 301 4 194 976.1313 221.6714 14.59628 984.5553 978.7407 209.4359 218.8002 GALAXY 1345_301_4_194 edgeon
1237651251489996858 1345 301 4 225 234.5612 1128.94 5.673431 244.1403 237.4577 1117.2 1126.469 GALAXY 1345_301_4_225 edgeon
1237651252022935697 1345 301 5 165 690.8387 598.8801 9.087313 699.6281 693.8831 587.3176 598.24 GALAXY 1345_301_5_165 edgeon
1237651252046659868 1345 301 5 527 1388.513 1445.161 6.0161 1397.422 1391.37 1433.378 1444.389 GALAXY 1345_301_5_527 edgeon
1237651252061143483 1345 301 5 748 131.8918 236.1693 7.89047 140.4629 134.7823 232.6633 236.7307 GALAXY 1345_301_5_748 edgeon
1237651252564263070 1345 301 6 233 276.6088 633.1486 15.45762 286.2813 277.5784 623.0433 633.2697 GALAXY 1345_301_6_233 edgeon
1237651252582809826 1345 301 6 516 385.9357 881.1694 7.904731 397.0398 388.6181 871.2035 880.7663 GALAXY 1345_301_6_516 edgeon
1237651274036084923 1350 301 6 187 318.208 458.7363 7.152375 328.0162 320.2824 451.6844 459.936 GALAXY 1350_301_6_187 edgeon
1237651297112948762 1356 301 1 56 149.7642 1832.457 43.29382 160.7765 153.4412 1830.124 1830.394 GALAXY 1356_301_1_56 edgeon
1237651537647173759 1412 301 1 301 397.9797 1444.116 8.087854 410.0436 401.3516 1436.983 1440.629 GALAXY 1412_301_1_301 edgeon
1237651539257262249 1412 301 4 293 499.2267 899.7006 10.85276 509.8051 502.4987 892.0084 898.3925 GALAXY 1412_301_4_293 edgeon
1237651799625826418 1473 301 1 82 739.5243 736.9932 7.243656 749.5855 737.4431 736.8845 735.0616 GALAXY 1473_301_1_82 edgeon
1237651800159748237 1473 301 2 37 635.2358 96.53384 7.928191 644.9539 637.7216 96.58633 95.06508 GALAXY 1473_301_2_37 edgeon
