objID run rerun camcol field rowc colc petroRad_r rowc_g rowc_i colc_g colc_i class imageName morphology
1237650369408139534 1140 301 1 180 1376.046 1332.705 43.77668 1387.886 1378.69 1331.008 1329.694 GALAXY 1140_301_1_180 spiral
1237650369409450067 1140 301 1 200 763.1822 1089.832 9.928998 775.0045 766.6691 1088.265 1086.898 GALAXY 1140_301_1_200 spiral
1237650369943765243 1140 301 2 161 1066.952 1687.896 7.381963 1077.789 1070.102 1687.101 1686.743 GALAXY 1140_301_2_161 spiral
1237650370481029219 1140 301 3 167 1332.792 498.8553 13.06969 1343.761 1335.516 496.8802 496.4275 GALAXY 1140_301_3_167 spiral
1237650371019145335 1140 301 4 186 88.08563 1212.691 10.88288 99.29459 90.53469 1209.038 1211.67 GALAXY 1140_301_4_186 spiral
1237650371558441076 1140 301 5 223 455.4719 971.4016 15.29766 466.2695 458.7163 969.4846 972.2787 GALAXY 1140_301_5_223 spiral
1237650372089544801 1140 301 6 135 63.98706 906.6358 10.46811 75.93242 66.73752 906.0745 907.6726 GALAXY 1140_301_6_135 spiral
1237650760246362146 1231 301 1 122 269.1126 718.6146 13.2692 282.5609 272.5248 719.3565 716.597 GALAXY 1231_301_1_122 spiral
1237650760783167783 1231 301 2 121 1359.914 1923.428 7.997451 1371.975 1362.934 1924.498 1923.125 GALAXY 1231_301_2_121 spiral
1237650761319055596 1231 301 3 106 1094.778 1468.085 7.316933 1106.333 1097.51 1468.443 1466.359 GALAXY 1231_301_3_106 spiral
1237650761316565059 1231 301 3 68 259.1445 1036.555 6.40878 270.6284 262.0847 1036.809 1035.083 GALAXY 1231_301_3_68 spiral
1237651272433008690 1350 301 3 302 301.5722 567.7415 12.96858 311.4656 304.4468 558.103 565.0586 GALAXY 1350_301_3_302 spiral
1237651272437399607 1350 301 3 369 313.9142 651.8 11.70505 324.0135 316.9408 642.561 648.9734 GALAXY 1350_301_3_369 spiral
1237651272439365767 1350 301 3 399 1220.942 235.654 7.979303 1231.528 1224.043 226.0434 232.7515 GALAXY 1350_301_3_399 spiral
1237651272963588139 1350 301 4 206 644.2772 1342.277 9.582571 653.9937 647.2173 1334.38 1341.267 GALAXY 1350_301_4_206 spiral
1237651272966406282 1350 301 4 249 603.9514 769.7077 7.825306 613.4049 606.8005 760.4948 768.6109 GALAXY 1350_301_4_249 spiral
1237651272968241331 1350 301 4 277 1057.54 160.6678 5.348052 1066.844 1060.28 152.0436 159.7427 GALAXY 1350_301_4_277 spiral
1237651272969027643 1350 301 4 289 877.7403 935.0779 15.67258 886.6733 880.8141 926.7184 933.9498 GALAXY 1350_301_4_289 spiral
1237651272971190298 1350 301 4 322 244.1479 1329.979 11.17308 254.5354 247.181 1321.135 1328.255 GALAXY 1350_301_4_322 spiral
