objID run rerun camcol field rowc colc petroRad_r rowc_g rowc_i colc_g colc_i class imageName
1237649768105379284 1000 301 1 68 1417.484 1229.437 2.520416 1427.811 1420.245 1215.656 1224.029 STAR 1000_301_1_68
1237649768105444534 1000 301 1 69 1422.156 1799.354 2.239756 1433.255 1425.382 1786.258 1794.185 STAR 1000_301_1_69
1237649768105510164 1000 301 1 70 833.8496 553.9845 2.304731 845.178 837.4142 540.4102 549.7067 STAR 1000_301_1_70
1237649768105575580 1000 301 1 71 463.4342 1661.682 2.6579 475.1896 467.2313 1647.958 1656.469 STAR 1000_301_1_71
1237649768105640299 1000 301 1 72 555.2401 96.75144 2.909047 566.7027 558.7672 82.2961 91.96887 STAR 1000_301_1_72
1237649768105705669 1000 301 1 73 271.2465 1339.601 3.096077 282.2801 274.9694 1325.593 1332.658 STAR 1000_301_1_73
1237649768105837136 1000 301 1 75 1252.081 687.6301 2.86407 1262.406 1255.583 673.5753 682.8703 STAR 1000_301_1_75
1237649768105902584 1000 301 1 76 924.2877 1229.316 2.672533 935.3254 928.3461 1215.186 1224.247 STAR 1000_301_1_76
1237649768105968317 1000 301 1 77 1010.165 1050.136 2.518725 1021.801 1014.323 1035.885 1043.758 STAR 1000_301_1_77
1237649768106033364 1000 301 1 78 232.1914 1616.246 2.116659 243.2023 236.0658 1601.854 1610.05 STAR 1000_301_1_78
1237649768106099723 1000 301 1 79 1319.831 1616.145 2.273376 1330.833 1323.25 1601.653 1609.663 STAR 1000_301_1_79
1237649768106164336 1000 301 1 80 333.5936 1956.305 2.333424 344.3275 336.643 1942.644 1950.021 STAR 1000_301_1_80
1237649768106230095 1000 301 1 81 748.6161 1096.056 3.08915 759.3388 752.2676 1082.438 1090.435 STAR 1000_301_1_81
1237649768106427199 1000 301 1 84 502.607 1376.606 3.426074 513.2365 506.441 1363.256 1370.606 STAR 1000_301_1_84
1237649768106491966 1000 301 1 85 323.0198 1244.738 3.491883 333.9052 326.7153 1231.404 1238.813 STAR 1000_301_1_85
1237649768642445882 1000 301 2 71 1276.896 455.6102 2.892747 1287.769 1280.243 441.9353 451.7437 STAR 1000_301_2_71
1237649768642510953 1000 301 2 72 299.0099 972.8096 2.829759 309.9687 302.5723 958.8706 968.8732 STAR 1000_301_2_72
1237649768642642029 1000 301 2 74 163.2608 1330.169 3.556627 173.8134 166.4618 1314.687 1325.306 STAR 1000_301_2_74
1237649768642707907 1000 301 2 75 1190.464 86.57983 2.897173 1200.71 1194.252 72.39304 83.09148 STAR 1000_301_2_75
1237649768642839977 1000 301 2 77 672.7084 1702.234 2.294514 682.8525 676.7722 1688.162 1698.216 STAR 1000_301_2_77
1237649768642904569 1000 301 2 78 1101.829 1276.644 2.347401 1111.503 1105.126 1261.681 1272.727 STAR 1000_301_2_78
1237649768642970695 1000 301 2 79 428.565 748.5848 2.35182 438.0205 431.2855 734.2209 743.8259 STAR 1000_301_2_79
1237649768643035917 1000 301 2 80 1417.183 356.0461 2.93352 1426.541 1420.143 342.3167 351.0733 STAR 1000_301_2_80
1237649768643100944 1000 301 2 81 610.8809 381.6634 3.172415 620.291 613.9852 367.9731 377.1482 STAR 1000_301_2_81
1237649768643166631 1000 301 2 82 1139.267 164.7346 3.247127 1148.167 1142.181 152.5529 161.7788 STAR 1000_301_2_82
1237649811055116475 1010 301 1 69 1225.955 582.8685 2.101039 1237.68 1229.679 581.9921 580.4802 STAR 1010_301_1_69
1237649811055181842 1010 301 1 70 630.0889 509.4018 2.107104 641.3237 633.9249 508.4523 506.7265 STAR 1010_301_1_70
1237649811055247402 1010 301 1 71 655.7908 1575.164 1.819592 666.7078 659.5705 1574.647 1572.596 STAR 1010_301_1_71
1237649811055313213 1010 301 1 72 952.6222 1179.839 1.84425 963.8595 955.7573 1179.23 1176.528 STAR 1010_301_1_72
1237649811592118700 1010 301 2 71 1220.643 1181.184 7.358553 1228.669 1224.247 1182.439 1179.709 GALAXY 1010_301_2_71
1237649811592183953 1010 301 2 72 120.9416 562.0885 2.269787 130.5399 123.9817 561.8792 560.2246 STAR 1010_301_2_72
1237649862592626903 1022 301 1 37 1254.081 1834.4 1.576234 1266.364 1257.738 1831.727 1830.961 STAR 1022_301_1_37
1237649862594068623 1022 301 1 59 965.496 1825.633 1.658211 977.5027 968.701 1823.336 1822.672 STAR 1022_301_1_59
1237649864203829330 1022 301 4 46 1395.758 1819.824 1.815323 1407.021 1399.224 1814.374 1818.58 STAR 1022_301_4_46
1237649864204157007 1022 301 4 51 321.778 1826.744 1.823822 333.0953 325.2708 1821.299 1825.458 STAR 1022_301_4_51
1237649864740831332 1022 301 5 48 838.9181 1817.495 1.804225 849.9474 842.1501 1814.504 1818.502 STAR 1022_301_5_48
1237649864741421173 1022 301 5 57 453.8276 1825.219 1.722511 465.0953 457.3434 1822.643 1826.387 STAR 1022_301_5_57
1237649918431789175 1035 301 1 107 87.26537 278.7999 1.322273 100.3047 90.73385 282.1003 277.9989 STAR 1035_301_1_107
1237649918431920195 1035 301 1 109 112.8207 1278.18 1.358487 125.8843 116.2455 1282.156 1276.794 STAR 1035_301_1_109
1237649918432116777 1035 301 1 112 1215.584 125.9596 1.514925 1228.864 1219.78 129.2292 124.6017 STAR 1035_301_1_112
1237649918432313617 1035 301 1 115 268.6208 527.846 1.273738 281.0929 272.0626 531.4267 527.1863 STAR 1035_301_1_115
1237649918432379167 1035 301 1 116 918.2489 1844.453 0.9491979 931.3292 921.8567 1848.544 1843.146 STAR 1035_301_1_116
1237649918432510119 1035 301 1 118 357.3325 577.6552 1.626093 370.2393 360.245 580.4764 576.2241 STAR 1035_301_1_118
1237649918432575536 1035 301 1 119 490.2705 1526.449 1.474234 503.0438 493.9895 1530.144 1524.94 STAR 1035_301_1_119
