objID run rerun camcol field rowc colc petroRad_r rowc_g rowc_i colc_g colc_i class imageName morphology
1237649918970495102 1035 301 2 135 221.0907 1336.371 6.758526 232.466 224.3882 1340.462 1336.633 GALAXY 1035_301_2_135 elliptical
1237653651846136082 1904 301 3 321 1095.608 488.5734 8.458065 1106.35 1098.312 477.5691 484.1322 GALAXY 1904_301_3_321 elliptical
1237649954406596746 1043 301 4 175 1391.631 954.2643 4.710764 1401.727 1394.29 955.4614 954.1195 GALAXY 1043_301_4_175 elliptical
1237653651847184529 1904 301 3 337 846.7922 1622.033 4.296355 857.658 849.4873 1611.862 1618.019 GALAXY 1904_301_3_337 elliptical
1237653651847053599 1904 301 3 335 1061.038 144.0172 5.035729 1071.59 1063.521 132.8582 139.3537 GALAXY 1904_301_3_335 elliptical
1237653651847118944 1904 301 3 336 976.9046 1470.077 1.979559 987.7766 979.7106 1459.962 1465.963 GALAXY 1904_301_3_336 elliptical
1237649920045088961 1035 301 4 148 1158.978 306.9553 3.59271 1169.733 1161.917 309.969 307.2559 GALAXY 1035_301_4_148 elliptical
1237649918434607250 1035 301 1 150 582.4552 311.2974 3.390701 595.3336 585.907 314.8572 310.3575 GALAXY 1035_301_1_150 elliptical
1237651495753220555 1402 301 3 26 669.4788 1817.675 7.006842 678.393 671.5 1808.007 1814.571 GALAXY 1402_301_3_26 elliptical
1237651496291074309 1402 301 4 41 310.6685 1614.09 3.767456 320.0719 313.1859 1604.443 1612.35 GALAXY 1402_301_4_41 elliptical
1237673703967883579 6573 301 1 217 567.7314 439.0884 8.85108 580.0953 571.6957 440.6182 437.8709 GALAXY 6573_301_1_217 elliptical
1237651250941395085 1345 301 3 46 771.2835 1395.558 3.89279 779.2479 773.5428 1387.734 1392.688 GALAXY 1345_301_3_46 elliptical
1237653589017362909 1889 301 6 94 1211.871 590.6661 6.053861 1223.779 1214.79 585.6738 591.3267 GALAXY 1889_301_6_94 elliptical
1237651190814867864 1331 301 3 92 1032.526 1241.873 4.756464 1042.302 1035.122 1236.093 1239.762 GALAXY 1331_301_3_92 elliptical
1237651496293957961 1402 301 4 85 1379.222 1697.768 5.52078 1388.556 1381.709 1686.763 1695.927 GALAXY 1402_301_4_85 elliptical
1237651496831484197 1402 301 5 95 859.9905 1518.948 4.888852 868.9205 862.524 1507.505 1518.941 GALAXY 1402_301_5_95 elliptical
1237651250943557940 1345 301 3 79 386.0699 566.0145 3.630395 394.527 388.614 556.5621 562.8323 GALAXY 1345_301_3_79 elliptical
1237673706117398718 6573 301 5 248 97.10278 1354.646 3.78677 106.3589 100.449 1356.467 1356.831 GALAXY 6573_301_5_248 elliptical
1237651495221657734 1402 301 2 107 120.6492 991.7462 3.28814 130.2135 123.5679 981.1073 989.0787 GALAXY 1402_301_2_107 elliptical
1237651496832270428 1402 301 5 107 821.4101 893.1827 4.969336 830.5172 824.0772 881.7425 892.7278 GALAXY 1402_301_5_107 elliptical
1237651273494495405 1350 301 5 115 480.6759 1465.301 3.168565 489.3654 483.7153 1458.107 1465.728 GALAXY 1350_301_5_115 elliptical
1237651495221133522 1402 301 2 99 352.0916 349.7991 6.029904 360.8263 354.482 338.7484 346.7555 GALAXY 1402_301_2_99 elliptical
1237651252018872452 1345 301 5 103 969.6713 1355.639 3.131197 979.6848 973.2676 1345.081 1354.823 GALAXY 1345_301_5_103 elliptical
1237651250945327307 1345 301 3 106 928.3165 1534.849 6.419882 937.7363 931.0583 1524.566 1531.302 GALAXY 1345_301_3_106 elliptical
1237651496833253677 1402 301 5 122 932.4092 909.5336 9.369806 941.3553 934.7991 898.1235 909.1139 GALAXY 1402_301_5_122 elliptical
1237651496296579334 1402 301 4 125 1057.241 576.0172 4.524217 1066.491 1059.491 564.7723 573.6789 GALAXY 1402_301_4_125 elliptical
1237651272422195481 1350 301 3 137 803.304 1541.352 6.717296 811.6957 806.0615 1533.931 1539.079 GALAXY 1350_301_3_137 elliptical
1237651192428888096 1331 301 6 144 614.1065 1901.491 1.86111 624.6342 616.2693 1896.91 1902.104 GALAXY 1331_301_6_144 elliptical
1237651192429216021 1331 301 6 149 954.6359 1686.642 9.384631 965.629 956.8456 1682.625 1687.622 GALAXY 1331_301_6_149 elliptical
1237651533334446327 1411 301 1 30 681.4819 126.1588 6.392304 691.9161 684.3018 121.1581 124.1261 GALAXY 1411_301_1_30 elliptical
1237651271886045425 1350 301 2 148 1406.138 1207.031 7.916907 1415.993 1408.854 1200.139 1205.384 GALAXY 1350_301_2_148 elliptical
1237651272959394126 1350 301 4 142 392.9541 79.26775 7.08394 401.1814 395.1936 71.50087 77.59413 GALAXY 1350_301_4_142 elliptical
1237651496297496768 1402 301 4 139 914.6642 1913.455 5.217791 924.3102 917.397 1901.36 1911.42 GALAXY 1402_301_4_139 elliptical
1237651273496658127 1350 301 5 148 774.7775 197.9934 5.355844 783.603 777.1765 190.2002 198.2637 GALAXY 1350_301_5_148 elliptical
1237651495760756995 1402 301 3 141 1145.288 546.2988 2.562014 1154.087 1147.597 533.8638 542.2198 GALAXY 1402_301_3_141 elliptical
1237651250946572498 1345 301 3 125 804.0097 409.5863 5.227887 811.7095 806.5454 397.7917 405.7182 GALAXY 1345_301_3_125 elliptical
1237651252557512880 1345 301 6 130 1371.336 700.0233 13.69446 1381.446 1373.616 690.637 699.9725 GALAXY 1345_301_6_130 elliptical
1237651271885848695 1350 301 2 145 75.41626 386.6798 4.364197 84.86599 77.98071 379.6071 384.4376 GALAXY 1350_301_2_145 elliptical
1237651191893262429 1331 301 5 163 1226.451 1673.598 8.71531 1235.727 1229.209 1667.669 1674.639 GALAXY 1331_301_5_163 elliptical
1237651252021166162 1345 301 5 138 858.9398 384.5871 7.853887 868.4305 861.3492 374.1564 383.5887 GALAXY 1345_301_5_138 elliptical
1237651252021100781 1345 301 5 137 1409.638 900.8887 4.810678 1418.939 1412.178 890.2925 899.8879 GALAXY 1345_301_5_137 elliptical
1237651252021428372 1345 301 5 142 247.3381 908.5233 9.155514 257.7381 250.1757 898.7132 908.2278 GALAXY 1345_301_5_142 elliptical
1237651191356653863 1331 301 4 167 921.3181 1685.103 4.999117 931.1612 923.6826 1678.998 1684.28 GALAXY 1331_301_4_167 elliptical
1237651702451142812 1450 301 4 66 802.9118 1212.408 7.558198 814.0826 805.5638 1199.5 1210.347 GALAXY 1450_301_4_66 elliptical
1237651534409171113 1411 301 3 45 484.2575 1243.892 3.281997 493.8216 486.9347 1239.537 1242.182 GALAXY 1411_301_3_45 elliptical
1237651534409171083 1411 301 3 45 273.5368 1503.644 4.711235 283.1131 276.2857 1499.39 1501.882 GALAXY 1411_301_3_45 elliptical
1237651190283567110 1331 301 2 177 157.9308 707.5096 7.811991 169.1547 160.8233 702.7443 706.5296 GALAXY 1331_301_2_177 elliptical
1237659132742598729 3180 301 4 36 1374.205 739.517 4.171693 1385.069 1377.039 736.4123 738.6712 GALAXY 3180_301_4_36 elliptical
1237658802581340231 3103 301 5 255 845.4958 894.1357 3.953589 854.0397 848.7801 890.0377 894.9802 GALAXY 3103_301_5_255 elliptical
1237659131670560891 3180 301 2 62 1049.864 1442.322 5.497875 1061.036 1052.921 1440.878 1441.537 GALAXY 3180_301_2_62 elliptical
1237659133281042626 3180 301 5 60 1168.058 1134.405 3.566971 1178.365 1170.643 1132.312 1135.608 GALAXY 3180_301_5_60 elliptical
1237659132207366324 3180 301 3 61 833.2028 1777.988 3.900123 843.7178 835.9072 1775.911 1776.201 GALAXY 3180_301_3_61 elliptical
1237659120933011584 3177 301 6 60 349.3914 888.1732 4.919927 359.8588 352.3546 887.3452 890.3096 GALAXY 3177_301_6_60 elliptical
1237659120933142708 3177 301 6 62 999.5334 288.5638 7.249513 1010.1 1002.586 287.6159 290.9194 GALAXY 3177_301_6_62 elliptical
1237659118786773124 3177 301 2 79 740.2284 569.41 5.885408 750.1357 743.606 567.0452 568.4968 GALAXY 3177_301_2_79 elliptical
1237659118249836738 3177 301 1 78 1245.887 1855.147 5.733646 1257.311 1249.686 1852.943 1852.597 GALAXY 3177_301_1_78 elliptical
